as_of_date,security_id,issuer_id,ticker,stock_code,stock_name,exchange,country,universe,native_taxonomy_label,taxonomy_source,taxonomy_version,icb_proxy_level1,icb_proxy_level3,mapping_version,mapping_method,confidence_score,confidence_band,mapping_effective_date,source_url,source_ts,run_id,effective_from,effective_to,is_current
2026-01-31,KRX:000080,KRX:000080,000080,000080,하이트진로,KRX,kr,kospi200,음료,naver_wics_primary,2026-01-31,Consumer Staples,"Food, Beverage and Tobacco",kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000100,KRX:000100,000100,000100,유한양행,KRX,kr,kospi200,제약,naver_wics_primary,2026-01-31,Health Care,Pharmaceuticals and Biotechnology,kr_icb_proxy_v1,native_label_exact,0.88,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000120,KRX:000120,000120,000120,CJ대한통운,KRX,kr,kospi200,항공화물운송과물류,naver_wics_primary,2026-01-31,Industrials,Transportation,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000150,KRX:000150,000150,000150,두산,KRX,kr,kospi200,복합기업,naver_wics_primary,2026-01-31,Industrials,Industrial Support Services,kr_icb_proxy_v1,native_label_exact,0.82,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000210,KRX:000210,000210,000210,DL,KRX,kr,kospi200,화학,naver_wics_primary,2026-01-31,Basic Materials,Chemicals,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000240,KRX:000240,000240,000240,한국앤컴퍼니,KRX,kr,kospi200,자동차부품,naver_wics_primary,2026-01-31,Consumer Discretionary,Automobiles and Parts,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000250,KRX:000250,000250,000250,삼천당제약,KRX,kr,kosdaq150,제약,naver_wics_primary,2026-01-31,Health Care,Pharmaceuticals and Biotechnology,kr_icb_proxy_v1,native_label_exact,0.88,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000270,KRX:000270,000270,000270,기아,KRX,kr,kospi200,자동차,naver_wics_primary,2026-01-31,Consumer Discretionary,Automobiles and Parts,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000660,KRX:000660,000660,000660,SK하이닉스,KRX,kr,kospi200,반도체와반도체장비,naver_wics_primary,2026-01-31,Technology,Semiconductors and Semiconductor Equipment,kr_icb_proxy_v1,ticker_rule,0.95,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:000670,KRX:000670,000670,000670,영풍,KRX,kr,kospi200,핸드셋,naver_wics_primary,2026-01-31,Technology,Technology Hardware and Equipment,kr_icb_proxy_v1,native_label_exact,0.83,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
