as_of_date,security_id,issuer_id,ticker,stock_code,stock_name,exchange,country,universe,native_taxonomy_label,taxonomy_source,taxonomy_version,icb_proxy_level1,icb_proxy_level3,mapping_version,mapping_method,confidence_score,confidence_band,mapping_effective_date,source_url,source_ts,run_id,effective_from,effective_to,is_current
2026-01-31,US:A:NYQ,US:A,A:NYQ,A,Agilent Technologies Inc,NYQ,us,russell3000,Medical Equipment and Services,ft_icb_native,2026-01-31,Health Care,Medical Equipment and Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=A:NYQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:AA:NYS,US:AA,AA:NYS,AA,Alcoa Corp,NYSE,us,russell3000,Industrial Metals and Mining,ft_icb_native,2026-01-31,Basic Materials,Industrial Metals and Mining,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=AA:NYS,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:AAL:NSQ,US:AAL,AAL:NSQ,AAL,American Airlines Group Inc,NASDAQ,us,russell3000,Travel and Leisure,ft_icb_native,2026-01-31,Industrials,Travel and Leisure,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=AAL:NSQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:AAMI:NYQ,US:AAMI,AAMI:NYQ,AAMI,Acadian Asset Management Inc,NYQ,us,russell3000,Investment Banking and Brokerage Services,ft_icb_native,2026-01-31,Financials,Investment Banking and Brokerage Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=AAMI:NYQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:AAOI:NMQ,US:AAOI,AAOI:NMQ,AAOI,Applied Optoelectronics Inc,NMQ,us,russell3000,Telecommunications Equipment,ft_icb_native,2026-01-31,Technology,Telecommunications Equipment,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=AAOI:NMQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:AAON:NSQ,US:AAON,AAON:NSQ,AAON,Aaon Inc,NASDAQ,us,russell3000,Construction and Materials,ft_icb_native,2026-01-31,Industrials,Construction and Materials,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=AAON:NSQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:AAP:NYQ,US:AAP,AAP:NYQ,AAP,Advance Auto Parts Inc,NYQ,us,russell3000,Consumer Discretionary,ft_icb_native,2026-01-31,Consumer Discretionary,Consumer Discretionary,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=AAP:NYQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:AAPL:NSQ,US:AAPL,AAPL:NSQ,AAPL,Apple Inc,NASDAQ,us,russell3000,Technology Hardware and Equipment,ft_icb_native,2026-01-31,Technology,Technology Hardware and Equipment,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=AAPL:NSQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:AAT:NYQ,US:AAT,AAT:NYQ,AAT,American Assets Trust Inc,NYQ,us,russell3000,Real Estate Investment Trusts,ft_icb_native,2026-01-31,Real Estate,Real Estate Investment Trusts,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=AAT:NYQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
2026-01-31,US:ABAT:NAQ,US:ABAT,ABAT:NAQ,ABAT,American Battery Technology Co,NAQ,us,russell3000,Industrial Metals and Mining,ft_icb_native,2026-01-31,Basic Materials,Industrial Metals and Mining,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=ABAT:NAQ,2026-01-31T00:00:00+00:00,ft-us-2026-01-31,2026-01-31,,True
